,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
player,Adrián,Rúnar Alex Rúnarsson,Alisson,Alphonse Areola,Kepa Arrizabalaga,David Button,Willy Caballero,Kiko Casilla,Karl Darlow,Ederson,Łukasz Fabiański,Fraser Forster,David de Gea,Vicente Guaita,Dean Henderson,Sam Johnstone,Caoimhin Kelleher,Bernd Leno,Hugo Lloris,Emiliano Martínez,Alex McCarthy,Edouard Mendy,Illan Meslier,Robin Olsen,Rui Patrício,Bailey Peacock-Farrell,Jordan Pickford,Nick Pope,Aaron Ramsdale,Darren Randolph,Marek Rodák,Mathew Ryan,Mathew Ryan,Robert Sánchez,Kasper Schmeichel,Zack Steffen
nationality,es ESP,is ISL,br BRA,fr FRA,es ESP,eng ENG,ar ARG,es ESP,eng ENG,br BRA,pl POL,eng ENG,es ESP,es ESP,eng ENG,eng ENG,ie IRL,de GER,fr FRA,ar ARG,eng ENG,sn SEN,fr FRA,se SWE,pt POR,nir NIR,eng ENG,eng ENG,eng ENG,ie IRL,sk SVK,au AUS,au AUS,es ESP,dk DEN,us USA
position,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK
squad,Liverpool,Arsenal,Liverpool,Fulham,Chelsea,West Brom,Chelsea,Leeds United,Newcastle Utd,Manchester City,West Ham,Southampton,Manchester Utd,Crystal Palace,Manchester Utd,West Brom,Liverpool,Arsenal,Tottenham,Aston Villa,Southampton,Chelsea,Leeds United,Everton,Wolves,Burnley,Everton,Burnley,Sheffield Utd,West Ham,Fulham,Arsenal,Brighton,Brighton,Leicester City,Manchester City
age,34-041,25-361,28-134,27-352,26-133,31-352,39-138,34-134,30-128,27-180,35-301,32-333,30-098,34-034,23-338,27-325,22-082,28-346,34-049,28-164,31-072,28-349,20-348,31-036,32-364,24-107,26-343,28-300,22-275,33-277,24-062,28-311,28-311,23-087,34-100,25-317
birth_year,1987,1995,1992,1993,1994,1989,1981,1986,1990,1993,1985,1988,1990,1987,1997,1993,1998,1992,1986,1992,1989,1992,2000,1990,1988,1996,1994,1992,1998,1987,1996,1992,1992,1997,1986,1995
minutes_90s,2.0,0.2,19.0,21.0,3.0,1.0,1.0,1.0,23.0,21.0,22.0,1.0,20.5,23.0,2.5,22.0,2.0,21.8,22.0,21.0,21.0,19.0,21.0,4.0,23.0,1.0,17.0,21.0,23.0,1.0,1.0,1.0,11.0,12.0,23.0,1.0
goals_against_gk,9,0,19,28,6,2,3,1,38,13,28,0,27,39,3,52,1,22,22,24,37,15,37,6,31,5,22,24,37,0,3,1,19,11,25,1
pens_allowed,0,0,3,5,0,0,0,0,2,5,2,0,4,3,0,4,0,1,5,2,3,2,6,1,6,0,1,3,1,0,0,0,4,2,1,0
free_kick_goals_against_gk,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
corner_kick_goals_against_gk,2,0,3,2,0,1,1,0,3,2,2,0,3,6,2,6,0,4,2,2,2,3,8,0,5,0,4,5,7,0,1,0,3,3,6,0
own_goals_against_gk,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,3,0,3,2,0,1,1,1,0,2,0,0,1,0,0,0,0,1,1,1,0
psxg_gk,7.1,0.1,21.1,33.3,4.8,1.7,1.5,1.0,34.4,13.5,28.2,0.0,23.7,39.9,3.4,50.7,2.2,22.6,24.0,28.8,31.7,13.8,38.2,5.8,23.9,4.4,19.1,29.5,34.8,0.4,2.5,2.8,14.8,14.1,27.5,0.6
psnpxg_per_shot_on_target_against,0.45,0.04,0.35,0.29,0.34,0.24,0.49,0.52,0.29,0.22,0.32,0.02,0.32,0.35,0.24,0.35,0.32,0.29,0.25,0.28,0.32,0.26,0.30,0.29,0.26,0.62,0.26,0.26,0.31,0.22,0.61,0.35,0.37,0.31,0.31,0.32
psxg_net_gk,-1.9,+0.1,+2.1,+5.3,-1.2,-0.3,-1.5,0.0,-1.6,+1.5,+0.2,0.0,-1.3,+0.9,+0.4,+1.7,+1.2,+3.6,+4.0,+4.8,-4.3,-0.2,+2.2,-0.2,-5.1,-0.6,-2.9,+6.5,-2.2,+0.4,-0.5,+1.8,-3.2,+4.1,+3.5,-0.4
psxg_net_per90_gk,-0.93,+0.50,+0.11,+0.25,-0.42,-0.31,-1.54,+0.04,-0.07,+0.07,+0.01,+0.02,-0.06,+0.04,+0.17,+0.08,+0.62,+0.17,+0.18,+0.23,-0.21,-0.01,+0.11,-0.06,-0.22,-0.65,-0.17,+0.31,-0.10,+0.44,-0.55,+1.76,-0.29,+0.34,+0.15,-0.37
passes_completed_launched_gk,9,0,72,107,21,8,1,5,171,82,186,5,68,138,9,199,8,63,113,170,101,102,103,36,142,11,133,206,178,5,6,2,57,95,145,2
passes_launched_gk,25,3,155,260,40,29,3,6,485,170,410,35,168,417,22,540,19,194,286,439,366,197,206,67,283,28,329,515,532,14,12,2,141,253,341,6
passes_pct_launched_gk,36.0,0.0,46.5,41.2,52.5,27.6,33.3,83.3,35.3,48.2,45.4,14.3,40.5,33.1,40.9,36.9,42.1,32.5,39.5,38.7,27.6,51.8,50.0,53.7,50.2,39.3,40.4,40.0,33.5,35.7,50.0,100.0,40.4,37.5,42.5,33.3
passes_gk,48,10,544,413,79,25,20,23,462,516,458,29,312,453,45,569,48,598,442,595,647,517,646,90,320,23,488,502,503,17,22,14,341,375,604,20
passes_throws_gk,14,2,88,93,17,2,2,10,80,78,85,1,59,89,16,100,10,94,85,81,83,64,160,9,77,1,75,88,62,2,3,5,56,54,100,4
pct_passes_launched_gk,37.5,30.0,23.0,39.7,34.2,68.0,15.0,13.0,68.0,23.8,62.0,72.4,34.6,58.1,40.0,68.2,31.3,18.4,49.5,55.3,45.4,28.8,23.8,54.4,53.8,87.0,52.3,74.1,75.3,58.8,40.9,7.1,33.4,51.7,44.9,25.0
passes_length_avg_gk,36.0,31.8,30.5,34.9,32.2,49.1,24.6,22.9,50.5,31.1,46.2,51.4,33.0,43.5,34.3,49.4,34.1,27.3,38.7,43.4,36.9,30.1,28.3,42.6,40.6,55.5,43.0,52.3,54.9,45.2,35.8,28.4,32.5,42.8,39.4,31.1
goal_kicks,14,1,95,150,27,12,6,10,202,94,162,14,141,183,18,179,14,140,167,142,106,112,151,26,163,9,114,163,160,5,4,3,58,90,138,8
pct_goal_kicks_launched,50.0,0.0,31.6,64.0,48.1,100.0,0.0,30.0,84.7,50.0,77.8,100.0,42.6,84.2,22.2,84.9,28.6,60.0,40.1,77.5,67.9,42.9,34.4,69.2,68.1,88.9,64.9,87.7,95.6,80.0,75.0,33.3,46.6,65.6,50.7,12.5
goal_kick_length_avg,38.7,30.0,34.4,46.2,40.0,67.0,19.7,34.1,60.2,44.3,55.4,65.2,35.7,59.2,29.8,58.6,33.7,46.7,35.2,56.9,49.2,36.3,31.8,51.0,47.3,64.9,52.7,62.1,71.5,52.0,56.0,38.0,40.2,50.1,43.2,20.5
crosses_gk,18,4,109,209,27,10,8,8,226,110,231,19,154,224,26,218,19,204,227,223,170,140,115,35,232,9,159,214,210,9,9,4,103,99,178,10
crosses_stopped_gk,2,0,9,25,4,1,0,2,21,7,15,2,7,13,0,16,2,10,9,18,14,10,7,1,18,0,13,28,21,0,0,0,7,6,14,0
crosses_stopped_pct_gk,11.1,0.0,8.3,12.0,14.8,10.0,0.0,25.0,9.3,6.4,6.5,10.5,4.5,5.8,0.0,7.3,10.5,4.9,4.0,8.1,8.2,7.1,6.1,2.9,7.8,0.0,8.2,13.1,10.0,0.0,0.0,0.0,6.8,6.1,7.9,0.0
def_actions_outside_pen_area_gk,0,0,25,13,0,0,2,0,2,18,8,0,7,10,1,13,1,15,9,10,17,14,14,0,1,0,9,25,14,0,1,0,6,8,10,0
def_actions_outside_pen_area_per90_gk,0.00,0.00,1.32,0.62,0.00,0.00,2.00,0.00,0.09,0.86,0.36,0.00,0.34,0.43,0.40,0.59,0.50,0.69,0.41,0.48,0.81,0.74,0.67,0.00,0.04,0.00,0.53,1.19,0.61,0.00,1.00,0.00,0.55,0.67,0.43,0.00
avg_distance_def_actions_gk,12.3,17.5,18.9,14.3,14.0,10.0,22.0,14.7,11.5,16.6,12.8,8.5,14.0,13.5,13.7,14.1,18.3,14.9,13.0,13.5,15.9,16.3,13.8,10.1,11.1,8.5,14.2,16.2,15.3,12.0,11.8,15.3,14.4,14.8,12.9,7.0
matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches
